Recording 100 episodes...
Episode 1: 200 steps, Reward: -251.3
Episode 2: 200 steps, Reward: -242.0
Episode 3: 200 steps, Reward: -243.1
Episode 4: 200 steps, Reward: -121.8
Episode 5: 200 steps, Reward: -237.2
Episode 6: 200 steps, Reward: -121.4
Episode 7: 200 steps, Reward: -234.6
Episode 8: 200 steps, Reward: -262.5
Episode 9: 200 steps, Reward: -127.5
Episode 10: 200 steps, Reward: -130.6
Episode 11: 200 steps, Reward: -128.3
Episode 12: 200 steps, Reward: -130.4
Episode 13: 200 steps, Reward: -1.5
Episode 14: 200 steps, Reward: -128.2
Episode 15: 200 steps, Reward: -278.3
Episode 16: 200 steps, Reward: -118.2
Episode 17: 200 steps, Reward: -130.6
Episode 18: 200 steps, Reward: -235.3
Episode 19: 200 steps, Reward: -1.0
Episode 20: 200 steps, Reward: -254.3
Episode 21: 200 steps, Reward: -244.5
Episode 22: 200 steps, Reward: -241.6
Episode 23: 200 steps, Reward: -116.0
Episode 24: 200 steps, Reward: -251.1
Episode 25: 200 steps, Reward: -126.7
Episode 26: 200 steps, Reward: -263.5
Episode 27: 200 steps, Reward: -128.8
Episode 28: 200 steps, Reward: -120.5
Episode 29: 200 steps, Reward: -125.7
Episode 30: 200 steps, Reward: -236.5
Episode 31: 200 steps, Reward: -127.8
Episode 32: 200 steps, Reward: -128.5
Episode 33: 200 steps, Reward: -129.5
Episode 34: 200 steps, Reward: -130.3
Episode 35: 200 steps, Reward: -129.6
Episode 36: 200 steps, Reward: -231.0
Episode 37: 200 steps, Reward: -240.1
Episode 38: 200 steps, Reward: -128.9
Episode 39: 200 steps, Reward: -248.3
Episode 40: 200 steps, Reward: -125.7
Episode 41: 200 steps, Reward: -119.4
Episode 42: 200 steps, Reward: -115.6
Episode 43: 200 steps, Reward: -126.9
Episode 44: 200 steps, Reward: -129.4
Episode 45: 200 steps, Reward: -124.8
Episode 46: 200 steps, Reward: -125.5
Episode 47: 200 steps, Reward: -0.9
Episode 48: 200 steps, Reward: -231.8
Episode 49: 200 steps, Reward: -2.2
Episode 50: 200 steps, Reward: -128.9
Episode 51: 200 steps, Reward: -129.2
Episode 52: 200 steps, Reward: -0.9
Episode 53: 200 steps, Reward: -129.4
Episode 54: 200 steps, Reward: -115.7
Episode 55: 200 steps, Reward: -265.0
Episode 56: 200 steps, Reward: -127.0
Episode 57: 200 steps, Reward: -297.7
Episode 58: 200 steps, Reward: -123.8
Episode 59: 200 steps, Reward: -118.7
Episode 60: 200 steps, Reward: -0.9
Episode 61: 200 steps, Reward: -125.2
Episode 62: 200 steps, Reward: -126.7
Episode 63: 200 steps, Reward: -233.8
Episode 64: 200 steps, Reward: -230.3
Episode 65: 200 steps, Reward: -237.4
Episode 66: 200 steps, Reward: -123.7
Episode 67: 200 steps, Reward: -241.9
Episode 68: 200 steps, Reward: -252.1
Episode 69: 200 steps, Reward: -131.0
Episode 70: 200 steps, Reward: -117.5
Episode 71: 200 steps, Reward: -1.2
Episode 72: 200 steps, Reward: -258.9
Episode 73: 200 steps, Reward: -129.6
Episode 74: 200 steps, Reward: -118.8
Episode 75: 200 steps, Reward: -268.9
Episode 76: 200 steps, Reward: -131.2
Episode 77: 200 steps, Reward: -236.2
Episode 78: 200 steps, Reward: -120.0
Episode 79: 200 steps, Reward: -124.4
Episode 80: 200 steps, Reward: -124.4
Episode 81: 200 steps, Reward: -130.2
Episode 82: 200 steps, Reward: -344.1
Episode 83: 200 steps, Reward: -126.7
Episode 84: 200 steps, Reward: -126.4
Episode 85: 200 steps, Reward: -124.4
Episode 86: 200 steps, Reward: -381.1
Episode 87: 200 steps, Reward: -127.0
Episode 88: 200 steps, Reward: -127.0
Episode 89: 200 steps, Reward: -362.2
Episode 90: 200 steps, Reward: -125.7
Episode 91: 200 steps, Reward: -127.7
Episode 92: 200 steps, Reward: -0.9
Episode 93: 200 steps, Reward: -129.2
Episode 94: 200 steps, Reward: -118.5
Episode 95: 200 steps, Reward: -121.4
Episode 96: 200 steps, Reward: -125.9
Episode 97: 200 steps, Reward: -127.9
Episode 98: 200 steps, Reward: -132.5
Episode 99: 200 steps, Reward: -127.4
Episode 100: 200 steps, Reward: -245.9
Videos saved to: videos/DQN_pendulum_20251112_170554
