Recording 100 episodes of cartpole with DQN...
Recording cartpole to videos/DQN_cartpole_20251112_172318/
Loaded model: dqn_cartpole_model.pth
Recording 100 episodes...
Episode 1: 500 steps, Reward: 500.0
Episode 2: 468 steps, Reward: 468.0
Episode 3: 500 steps, Reward: 500.0
Episode 4: 500 steps, Reward: 500.0
Episode 5: 500 steps, Reward: 500.0
Episode 6: 484 steps, Reward: 484.0
Episode 7: 500 steps, Reward: 500.0
Episode 8: 396 steps, Reward: 396.0
Episode 9: 500 steps, Reward: 500.0
Episode 10: 500 steps, Reward: 500.0
Episode 11: 162 steps, Reward: 162.0
Episode 12: 239 steps, Reward: 239.0
Episode 13: 167 steps, Reward: 167.0
Episode 14: 500 steps, Reward: 500.0
Episode 15: 500 steps, Reward: 500.0
Episode 16: 500 steps, Reward: 500.0
Episode 17: 395 steps, Reward: 395.0
Episode 18: 500 steps, Reward: 500.0
Episode 19: 224 steps, Reward: 224.0
Episode 20: 500 steps, Reward: 500.0
Episode 21: 199 steps, Reward: 199.0
Episode 22: 389 steps, Reward: 389.0
Episode 23: 195 steps, Reward: 195.0
Episode 24: 500 steps, Reward: 500.0
Episode 25: 500 steps, Reward: 500.0
Episode 26: 500 steps, Reward: 500.0
Episode 27: 181 steps, Reward: 181.0
Episode 28: 500 steps, Reward: 500.0
Episode 29: 500 steps, Reward: 500.0
Episode 30: 500 steps, Reward: 500.0
Episode 31: 215 steps, Reward: 215.0
Episode 32: 500 steps, Reward: 500.0
Episode 33: 500 steps, Reward: 500.0
Episode 34: 500 steps, Reward: 500.0
Episode 35: 500 steps, Reward: 500.0
Episode 36: 167 steps, Reward: 167.0
Episode 37: 188 steps, Reward: 188.0
Episode 38: 291 steps, Reward: 291.0
Episode 39: 500 steps, Reward: 500.0
Episode 40: 500 steps, Reward: 500.0
Episode 41: 500 steps, Reward: 500.0
Episode 42: 500 steps, Reward: 500.0
Episode 43: 149 steps, Reward: 149.0
Episode 44: 500 steps, Reward: 500.0
Episode 45: 500 steps, Reward: 500.0
Episode 46: 158 steps, Reward: 158.0
Episode 47: 188 steps, Reward: 188.0
Episode 48: 474 steps, Reward: 474.0
Episode 49: 201 steps, Reward: 201.0
Episode 50: 500 steps, Reward: 500.0
Episode 51: 166 steps, Reward: 166.0
Episode 52: 169 steps, Reward: 169.0
Episode 53: 500 steps, Reward: 500.0
Episode 54: 500 steps, Reward: 500.0
Episode 55: 500 steps, Reward: 500.0
Episode 56: 500 steps, Reward: 500.0
Episode 57: 229 steps, Reward: 229.0
Episode 58: 500 steps, Reward: 500.0
Episode 59: 500 steps, Reward: 500.0
Episode 60: 500 steps, Reward: 500.0
Episode 61: 500 steps, Reward: 500.0
Episode 62: 192 steps, Reward: 192.0
Episode 63: 195 steps, Reward: 195.0
Episode 64: 500 steps, Reward: 500.0
Episode 65: 500 steps, Reward: 500.0
Episode 66: 500 steps, Reward: 500.0
Episode 67: 442 steps, Reward: 442.0
Episode 68: 500 steps, Reward: 500.0
Episode 69: 500 steps, Reward: 500.0
Episode 70: 500 steps, Reward: 500.0
Episode 71: 500 steps, Reward: 500.0
Episode 72: 500 steps, Reward: 500.0
Episode 73: 500 steps, Reward: 500.0
Episode 74: 500 steps, Reward: 500.0
Episode 75: 500 steps, Reward: 500.0
Episode 76: 500 steps, Reward: 500.0
Episode 77: 500 steps, Reward: 500.0
Episode 78: 500 steps, Reward: 500.0
Episode 79: 500 steps, Reward: 500.0
Episode 80: 500 steps, Reward: 500.0
Episode 81: 500 steps, Reward: 500.0
Episode 82: 500 steps, Reward: 500.0
Episode 83: 500 steps, Reward: 500.0
Episode 84: 255 steps, Reward: 255.0
Episode 85: 500 steps, Reward: 500.0
Episode 86: 500 steps, Reward: 500.0
Episode 87: 492 steps, Reward: 492.0
Episode 88: 157 steps, Reward: 157.0
Episode 89: 500 steps, Reward: 500.0
Episode 90: 370 steps, Reward: 370.0
Episode 91: 500 steps, Reward: 500.0
Episode 92: 500 steps, Reward: 500.0
Episode 93: 171 steps, Reward: 171.0
Episode 94: 185 steps, Reward: 185.0
Episode 95: 500 steps, Reward: 500.0
Episode 96: 500 steps, Reward: 500.0
Episode 97: 484 steps, Reward: 484.0
Episode 98: 500 steps, Reward: 500.0
Episode 99: 500 steps, Reward: 500.0
Episode 100: 500 steps, Reward: 500.0
Videos saved to: videos/DQN_cartpole_20251112_172318
PS D:\Ziad\university\Year 5\Reinforcement Learning\Assignment2> 
